date,asamid,asam,agas,ayar,close_overal
7/8/2023,0.001058425,-0.010843622,-0.002114578,-0.000284022,-0.003421722
7/9/2023,0.000634518,0.007751824,-0.00745156,-0.008787628,-0.00858934
7/10/2023,0.000634115,0.002622773,-0.014519173,-0.011398557,-0.008224056
7/11/2023,0.000686505,-0.015801105,-0.014219275,-0.015157779,-0.014068866
7/12/2023,0.000686034,-0.022167802,-0.023522529,-8.83E-05,-0.027133592
7/15/2023,0.001897334,0.005790076,0.001449183,0.010641279,-0.000248172
7/16/2023,0.000736881,-0.007049701,-0.027450253,-0.022453664,-0.02423893
7/17/2023,0.000578597,-0.005340521,-0.016109302,0.004353356,-0.032514031
7/18/2023,0.000683365,0.015413626,0.033692369,0.007768004,0.021801173
7/19/2023,0.00073541,0.005819453,0.001830458,-0.008613419,0.008279778
7/22/2023,0.001940984,-0.024426531,-0.021591301,-0.006535241,-0.016628382
7/23/2023,0.0006287,0.006947026,0.013732018,-0.016747632,-0.003125547
7/24/2023,0.000680646,0.00702042,0.00400178,0.008905748,0.01082386
7/25/2023,0.000680183,-0.003443181,-0.006267942,0.018523191,0.001718747
7/26/2023,0.000679721,-0.001218076,-0.006690783,0.017344354,-0.000685535
7/29/2023,0.001932065,0.004742131,0.001190214,-0.002035239,-0.001885983
7/30/2023,0.000625815,-0.003077798,-0.016818166,-0.000509458,-0.014674932
7/31/2023,0.000677524,0.003522485,0.004604398,0.010269871,0.003167617
8/1/2023,0.000781189,0.001009917,0.013703613,0.042130799,0.009955296
8/5/2023,0.00254764,0.005556465,0.026373196,-0.019574683,0.01956445
8/6/2023,0.000674816,-0.008872815,-0.00822657,-0.008560666,0.003419349
8/7/2023,0.000674361,0.004163893,0.00780654,-0.001863324,0.005407381
8/8/2023,0.000622084,-0.005339387,-0.010518444,-0.010404313,-0.006458123
8/9/2023,0.000673488,-0.000243378,0.000720692,0.007624216,-0.000433782
8/12/2023,0.001914371,-0.008433024,-0.035599182,-0.038983176,-0.023517402
8/13/2023,0.000671748,-0.002170664,0.002369532,0.019987145,-0.000865808
8/14/2023,0.000774533,-0.004149639,0.010184469,-0.000975361,0.004573417
8/15/2023,0.000619195,-0.012553246,-0.014904217,-0.004861856,-0.009482582
8/16/2023,0.001958259,-0.003299024,-0.001914147,-0.001318083,-0.002320727
8/19/2023,0.000617602,0.001379397,-0.015878081,-0.013188171,-0.008181902
8/20/2023,0.000720054,-0.016297499,-0.001016157,0.002536059,-0.001782263
8/21/2023,0.000616776,0.004574922,0.002538459,-0.003189653,0.001233458
8/22/2023,0.000719092,-0.007721718,-0.021500143,0.008404654,-0.009342532
8/23/2023,0.000667266,0.000468394,0.019410614,0.005949906,0.004296449
8/26/2023,0.001947919,0.032583811,0.036265412,-0.007645859,0.023608683
8/27/2023,0.000665523,0.010982817,0.027444443,0.004300638,0.028867725
8/28/2023,0.000665081,0.001669619,0.001230838,-0.004108778,0.015812391
8/29/2023,0.000715746,-0.001832658,-0.00256662,-0.000915359,0.005206968
8/30/2023,0.00112371,0.000326052,0.000660163,0.004671356,0.004588348
9/2/2023,0.00158127,0.001465918,0.001120484,0.000734819,0.000456306
9/3/2023,0.00066237,0.001382507,0.00217381,0.017966299,0.002847421
9/4/2023,0.000661931,0.00393374,0.015561854,-0.007095515,0.011533459
9/5/2023,0.002541814,0.001536844,0.013685362,-0.006560938,0.006918939
9/9/2023,0.000761286,-0.003968259,-0.020622494,0.005630448,-0.00998316
9/10/2023,0.000608612,-0.00142106,-0.001855959,-0.005659704,-0.002811789
9/11/2023,0.000658912,-0.006522117,0.002947478,-0.000760957,-0.000476609
9/12/2023,0.000658478,0.006318943,0.008051322,-0.00663898,0.002100104
9/13/2023,0.000961612,-0.000121924,0.00424959,0.007882552,-0.000158822
9/17/2023,0.002374758,0.003691763,0.006067206,-0.003397877,0.004242749
9/18/2023,0.000706286,0.001173638,-0.004796617,-0.009567053,-0.001077093
9/19/2023,0.000655391,-0.002632486,-0.005014254,2.96E-05,-0.002344267
9/20/2023,0.001661757,-0.003941412,-0.005681035,-0.006776967,-0.003424384
9/23/2023,0.001056046,0.002602262,-0.000563618,-0.006132786,-0.001352216
9/25/2023,0.001305942,-0.001706971,-0.013004084,-0.006215921,-0.008204894
9/26/2023,0.000702494,0.002153553,-0.001420968,-0.002827231,-0.001576607
9/27/2023,0.001503684,0.005868205,0.000413003,-0.004552429,0.000119122
9/30/2023,0.001101267,-0.002383599,-0.005087044,-0.009750956,-0.006427787
10/1/2023,0.000700175,-0.019523574,-0.011196258,0.005666518,-0.0083679
10/2/2023,0.000699685,0.004362506,0.004260518,0.001449751,0.000180521
10/4/2023,0.001348012,0.003279901,0.004218434,-0.003712507,0.001069107
10/7/2023,0.001943926,-0.008550223,-0.012263374,0.026299219,-0.008191403
10/8/2023,0.000647136,-0.016819014,-0.032533302,0.072160465,-0.025455707
10/9/2023,0.000646718,8.40E-05,0.013740122,0.019695734,0.002160495
10/10/2023,0.000695998,0.001258601,0.007287655,-0.044909337,0.004215187
10/11/2023,0.001787488,0.012168338,0.006705925,-0.002207334,0.002799312
10/14/2023,0.000892547,-0.01019971,-0.016539478,0.014900622,-0.00907696
10/15/2023,0.000644122,-0.0023041,0.002017413,-0.010618569,0.000239646
10/16/2023,0.000643708,0.007354511,0.01645767,-0.018178542,0.00807107
10/17/2023,0.000692761,0.013481306,0.002726256,0.008234883,0.006459974
10/18/2023,0.001927307,-0.002508792,-0.012212274,0.020997551,-0.003798722
10/21/2023,0.000740284,0.000699804,0.009291,-0.011110676,0.000705938
10/22/2023,0.000641136,0.004844016,0.006294449,0.005549592,0.003568636
10/23/2023,0.000689995,0.000982359,-0.011435472,0.000112937,-0.00508546
10/24/2023,0.000591046,-0.013302505,-0.01075001,0.000409289,-0.010718928
10/25/2023,0.000935108,-0.005737823,0.002268014,0.006399774,0.000863677
10/28/2023,0.001818495,-0.015633198,-0.033490021,0.041335575,-0.025731117
10/29/2023,0.000638146,0.003467087,0.016390901,-0.024237339,0.00515995
10/30/2023,0.000637739,0.018732777,0.016266738,-0.009193939,0.010197807
10/31/2023,0.000686342,-0.003402634,-0.001922895,0.008201082,-0.000105738
11/1/2023,0.001371272,-0.009144687,-0.010997428,0.002590389,-0.005407728
11/4/2023,0.001271643,0.017258657,0.030499547,-0.012016314,0.014453836
11/5/2023,0.000635215,0.004935438,-0.003505843,0.003031527,0.008728566
11/6/2023,0.00078125,0.010245197,0.009659957,-0.00547176,0.006985342
11/7/2023,0.000634317,0.007807009,0.015062993,-0.007230061,0.010688941
11/8/2023,0.002241279,-0.002097452,-0.00215164,0.00244389,0.001581448
11/11/2023,0.000389275,0.008963983,-0.00449285,-0.001417853,-0.000711313
11/12/2023,0.000680868,-0.011025381,-0.003703426,-0.002545944,-0.000413864
11/13/2023,0.000631819,0.016293803,0.001665439,0.001126079,0.001132716
11/14/2023,0.000728527,-0.016253343,-0.01031737,-0.005515796,-0.004823624
11/15/2023,0.000825022,0.005165467,-0.006503851,0.003516133,-0.003517109
11/18/2023,0.001696435,-0.002337297,-0.005008004,-0.003799091,-0.005066659
11/19/2023,0.000726164,-0.000887992,0.001111429,-0.002096377,-0.001152998
11/20/2023,0.000387072,0.001331692,-0.007542689,-0.008401137,-0.004071762
11/21/2023,0.000918696,-0.000282332,0.005367708,0.005945058,0.00106281
11/22/2023,0.001304065,0.007234758,0.004573415,0.00191711,0.001077802
11/25/2023,0.00139877,-0.001081883,-0.001704418,0.005616522,-0.001159829
11/26/2023,0.0006264,-0.000681786,0.001093119,-0.001553058,0.002205352
11/27/2023,0.000674147,-0.000923157,0.001214082,0.000988589,0.000803304
11/28/2023,0.000673692,0.003087227,0.001716753,-0.000833175,0.002860951
11/29/2023,0.000817445,0.00327725,0.024317405,0.005199502,0.013912314
12/2/2023,0.001824818,0.00964925,0.019563023,0.016959361,0.013187475
12/3/2023,0.000671463,0.002328841,0.010456306,0.00153261,0.015920524
12/4/2023,0.000671012,0.001418328,0.005987536,0.002507856,0.020544217
12/5/2023,0.000670562,-0.000827114,-0.000137771,-0.010236212,0.005193976
12/6/2023,0.001100663,-0.004660356,-0.001463069,-0.003384334,-0.002521113
12/9/2023,0.001577099,0.001028725,-0.007579321,-0.00631173,-0.004643788
12/10/2023,0.000716042,0.003237527,0.004308408,0.001935539,5.04E-05
12/11/2023,0.000715529,-0.002684036,-0.000500025,-0.004029574,0.00068757
12/12/2023,0.000572055,0.000948129,-0.002326478,-0.000492524,-0.000598451
12/13/2023,0.000762231,0.003035861,-0.001543699,0.000970744,-0.001471563
12/16/2023,0.0017129,-0.000590679,0.011558248,0.002752347,0.006344123
12/18/2023,0.001235272,0.006243517,0.019486071,-0.003033625,0.016363006
12/19/2023,0.000142433,0.001955341,0.001474115,-0.000703542,0.001902112
12/20/2023,0.000806739,0.001366467,-0.000246782,0.000675409,-0.000741236
12/23/2023,-0.000474473,-0.003987496,-0.00169921,0.00899002,-0.000848331
12/24/2023,-0.001662432,-0.000901342,-0.008335639,-0.001227507,-0.003735328
12/25/2023,-0.012581189,-0.00278754,-0.00137588,-0.003341422,-0.002553084
12/26/2023,0.000625617,-0.009718787,-0.005918165,0.004847698,-0.007201811
12/27/2023,0.006186922,0.0052267,0.00263715,0.002380307,-0.000616001
12/30/2023,0.002006115,0.007867552,0.006800097,0.011116295,0.002434471
12/31/2023,0,-0.004240789,-0.002921628,-0.001114344,-0.003035365
1/1/2024,-0.00468721,-0.001417602,-0.003036351,0.001141843,-0.003579576
1/2/2024,-0.00765181,-0.011971918,-0.003821772,0.011890909,-0.004418863
1/3/2024,-0.003048119,0.003225103,-0.001447421,0.007134716,-0.001637274
1/6/2024,0.031621492,0.000317965,0.001919284,-0.004651423,-0.000703605
1/7/2024,0.00140746,0.00455961,0.002576097,0.010730469,0.000490519
1/8/2024,0.000656137,0.00272582,0.000955798,0.001139067,-0.000380576
1/9/2024,0.000655707,-0.002093084,0.000924586,0.004956557,0.001121307
1/10/2024,0.000702066,0.004496694,0.010406831,0.04058528,0.006743989
1/13/2024,0.001963168,0.005494735,0.009765273,0.041350111,0.004393998
1/14/2024,0.000653534,-0.002037379,0.008596815,0.001901363,0.007659476
1/15/2024,0.000699741,-0.00819128,-0.007261424,-0.041921482,-0.001043055
1/16/2024,0.000699252,-0.001305767,-0.003966874,0.024665182,-0.003664612
1/17/2024,0.000698763,-0.00675383,0.002453296,-0.002709335,-0.00045411
1/20/2024,0.001953943,0.000677439,-0.011951322,0.003818418,-0.008752601
1/21/2024,0.000650467,-0.008039239,-0.008247143,0.027019539,-0.006349862
1/22/2024,0.000650044,-4.02E-05,-0.002457842,0.006958399,-0.00309249
1/23/2024,0.000742391,-0.00656744,-0.016209846,0.03875017,-0.012429038
1/24/2024,0.000880874,0.011734582,0.007674422,0.002047747,0.001622561
1/27/2024,0.001759423,0.005935208,0.001056573,0.006772737,0.00157127
1/28/2024,0.000601198,-0.005615643,0.000787874,-0.019204503,0.000562698
1/29/2024,0.000693241,-0.003601012,-0.005628159,0.025783436,-0.003653093
1/30/2024,0.000692761,-0.004902168,-0.008191926,-0.005122119,-0.004693708
1/31/2024,0.000784549,-8.06E-05,0.002903029,-0.024941669,-0.001454283
2/3/2024,0.001797525,0.000926094,0.003757532,-0.04087537,0.001806771
2/4/2024,0.000690496,-0.003426801,-0.007040514,-0.015135451,-0.005181172
2/5/2024,0.00069002,-0.001616685,0.001906061,-0.010495373,-0.000810642
2/6/2024,0.000689544,0.000161786,-0.005869263,0.02556961,-0.000583738
2/7/2024,0.000780909,0.003068973,-0.001051717,0.024382603,0.000369511
2/10/2024,0.000459074,0.011863867,0.001285282,-0.006797732,0.000991776
2/12/2024,0.002704253,-0.002433431,-0.010226566,0.018143736,-0.003915127
2/13/2024,0.000686358,-0.000439446,-0.00217299,-0.00560345,-0.000760029
2/14/2024,0.001964951,-0.002200133,-0.002264613,-0.001807373,-0.005643388
2/17/2024,0.00073016,-0.003208859,-0.011001211,0.008709463,-0.008952775
2/18/2024,0.000592863,-0.001527823,0.00726564,0.015128208,0.002184775
2/19/2024,0.000729195,0.005217124,0.003340514,-0.00475265,0.003022612
2/20/2024,0.00059208,-0.00072075,-0.000940864,-0.016351448,0.00031027
2/21/2024,0.001501399,0.02843232,-0.004852762,0.014142174,-0.00029052
2/24/2024,0.001272149,-0.028312159,-0.005555592,0.00942255,-0.002274733
2/26/2024,0.001225184,-0.012655846,-0.013024967,-0.004682706,-0.007933431
2/27/2024,0.00068001,-0.003412973,0.00343561,-0.003394995,-0.001839738
2/28/2024,0.000860683,0.003331847,0.005247793,-0.008461648,0.004296829
3/2/2024,0.001809546,0.015017292,0.038797936,0.02237647,0.015316202
3/3/2024,0.000677736,0.007286079,0.029237043,-0.018741279,0.028604873
3/4/2024,0.000677277,-0.006567057,-0.019546471,0.017288075,-0.003230043
3/5/2024,0.000631712,0.002273499,0.021591791,0.022279449,0.01487058
3/6/2024,0.000721468,0.000477973,-0.001453021,0.005885978,-0.0029854
3/9/2024,0,0,0,0.017177163,-0.000925002
3/10/2024,0.002610968,0.000199088,-0.015636767,-0.027860507,-0.001630722
3/11/2024,0.000719069,-0.006711166,0.006344602,0.005835272,0.000619651
3/12/2024,0.000583863,-0.003292118,-0.006489266,-0.002935997,0.000885587
3/13/2024,0.000942444,-0.002012721,-0.010702085,-0.010058789,-0.006233221
3/16/2024,0.0017479,0.00394113,-0.000954808,0.007409001,-0.000717129
