date,close_afran,close_yaghoot,close_goldMofid,close_nahal,close_sahar,close_agas,close_sarv,close_atlas
2023-01-18,18901,16824,60487.65,14014.02,19700.68,101099.34,8718.47,32049.58
2023-01-21,18931,16829,65117.02,14216.89,19853.38,99731.28,8531.88,31603.91
2023-01-22,18942,16851,71199.42,14734.46,21239.68,100661.76,8505.49,31724.97
2023-01-23,18956,16861,66070.13,15482.62,22400.42,101834.67,8564.65,32091.42
2023-01-24,18970,16870,61083.09,15188.7,21640.9,100587.32,8448.15,31632.34
2023-01-25,18985,16874,60295.61,14669.15,20566.99,98208.32,8226.98,30729.18
2023-01-28,19017,16903,65496.03,14917.54,21370.43,97288.9,8193.3,30520.95
2023-01-29,19029,16913,68573.81,14715.66,21203.75,94057.88,7819.22,29606.16
2023-01-30,19043,16922,68229.35,14777.02,21072.01,94586.99,7847.44,29695.02
2023-01-31,19056,16932,64679.08,14914.58,21476.22,95726.7,8026.74,30351.59
2023-02-01,19077,16945,65061.13,14934.37,21705.77,95064.8,7984.87,30197.04
2023-02-05,19117,16961,61632.8,14908.64,21733.72,93682.67,7850.17,29880.28
2023-02-06,19128,16983,62768.8,14866.08,21743.7,93936.16,7815.58,29830.59
2023-02-07,19141,16985,62408.09,14912.6,21575.03,95873.57,8111.39,30413.41
2023-02-08,19162,17007,62258.72,14833.43,21496.18,95757.89,8052.23,30541.33
2023-02-12,19202,17024,65596.62,15374.75,22361.5,94636.28,8049.5,30177.16
2023-02-13,19215,17038,65592.56,15793.36,23111.04,94678.53,8040.39,30181.93
2023-02-14,19228,17042,66818.99,15830.96,22951.35,94175.57,7939.37,30028.77
2023-02-15,19254,17071,69836.82,16266.4,23381.51,93591.13,7868.37,29795.5
2023-02-19,19288,17099,76266.73,17068.98,23800.7,95400.78,7946.65,30394.63
2023-02-20,19301,17107,75177.47,16744.38,23092.08,100659.75,8406.28,32390.59
2023-02-21,19314,17109,71937.11,16370.31,22917.42,102377.87,8775.81,34241.64
2023-02-22,19333,17135,74790.33,16831.47,23555.18,101435.32,8639.28,33531.79
2023-02-25,19363,17151,82060.55,18112.04,25238.9,110368.93,9331.01,36835.73
2023-02-26,19376,17159,84710.55,18330.75,25672.06,113722.67,9645.92,38787.17
2023-02-27,19390,17171,78992.94,17789.42,24131.06,110499.7,9533.97,36861.18
2023-02-28,19403,17180,77712.64,17119.45,23826.65,111260.17,9559.46,36541.14
2023-03-01,19426,17197,72663.62,15962.58,22585.06,108678.97,9279.13,35618.2
2023-03-04,19455,17206,75880.61,16195.14,22839.57,107186.18,9256.37,34980.71
2023-03-05,19468,17461,72278.52,16306.97,22576.08,108260.51,9275.49,35508.37
2023-03-06,19481,17471,69120.47,15619.19,21897.4,107398.43,9235.44,34854.98
2023-03-07,19507,17509,66394.26,15834.92,21957.29,110496.68,9525.78,35914.38
2023-03-11,19546,17520,60682.74,15349.02,21167.82,109323.77,9496.66,35964.08
2023-03-12,19562,17527,62825.71,14963.07,20327.46,106980.98,9221.79,35108.72
2023-03-13,19578,17539,64441.31,15371.78,20617.89,108047.25,9362.86,35279.97
