config,population,generations,init_mut,high_mut,base_seed,window_index,best_fitness,generations_run,runtime_s
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,21,0.8006701478779089,30,2.1430679580000174
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,22,0.8018804575410878,30,2.0835697080000273
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,23,0.8430065440955913,30,1.9101860000000102
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,24,0.8488723085539438,30,1.9762507499999629
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,25,0.8548263612692405,30,2.0539575420000347
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,26,0.9,18,1.9129588750000153
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,27,0.8439203590667401,30,2.331901916999982
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,28,0.828873642657682,30,2.0430103749999944
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,29,0.8565978391044404,26,2.0754852499999856
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,30,0.817565430801229,30,2.099890541000036
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,31,0.8065287702778612,21,1.803674624999985
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,32,0.8018458935886201,30,2.19975791600001
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,33,0.8218452086803514,30,1.9537640409999995
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,34,0.8177709687283122,27,2.036724292000031
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,0,35,0.8445399702970366,28,2.2652387500000373
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,0,0.9,18,1.7583682080000358
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,1,0.9,18,1.7486556250000262
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,2,0.81106187632365,30,2.1831536249999886
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,3,0.8268048126648753,30,2.124648165999986
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,4,0.8178676964926219,30,2.134451833000014
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,5,0.8023905225655164,22,1.8834569579999538
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,6,0.8222125292227416,30,2.2575600410000334
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,7,0.8164142172829585,30,2.1657520420000083
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,8,0.8117595238399133,18,1.8977971670000215
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,9,0.9,18,1.8242483750000247
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,10,0.9,18,1.7490475419999711
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,11,0.8452089432282808,30,2.1690542089999667
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,12,0.8699005263318774,30,2.2809275839999827
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,13,0.8157863492280836,30,1.8810308330000112
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,14,0.8308051507558765,21,1.8690838750000012
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,15,0.8285220538317385,25,1.9627879579999785
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,16,0.9,18,1.7432527919999643
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,17,0.9,18,1.8054799999999886
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,18,0.8446890148445176,30,2.360388666999995
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,19,0.85815367056094,30,2.051065082999969
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,20,0.8011956979950712,30,2.098742375000029
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,21,0.8000116917101938,18,1.7741777079999679
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,22,0.802230132011851,30,2.08423966700002
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,23,0.840756491889831,30,2.09127808300002
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,24,0.8464799253793964,30,1.944079166999984
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,25,0.8548176923444033,30,2.0786315830000035
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,26,0.9,18,1.7371293339999738
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,27,0.8437832357906687,24,2.007576874999984
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,28,0.8284308488981356,30,2.1928210830000125
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,29,0.8568717341387384,30,2.113326541000049
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,30,0.8178966480997013,30,2.1623017499999833
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,31,0.8054601456685359,30,2.02246629199999
"pop=100,gen=30,mut=0.05",100,30,0.05,0.1,1,32,0.8,18,1.7989670840000258
